node_index,DAT_m,PCE_m,error_m,error_mm
29,-0.25280780791999996,-0.2525128423442881,-0.00029496557571184745,-29.496557571184745
30,0.07127635509800001,0.07155474891786573,-0.00027839381986571876,-27.839381986571876
31,0.45446125589,0.4548367958391305,-0.0003755399491304767,-37.553994913047674
32,0.8584217643500001,0.8587460187360301,-0.00032425438603000956,-32.425438603000956
33,1.0557575207,1.0570640309588957,-0.0013065102588956101,-130.65102588956103
34,0.7994498148199999,0.8005551729052205,-0.001105358085220609,-110.5358085220609
35,0.33768838949,0.3393633000868093,-0.001674910596809298,-167.49105968092982
36,-0.05088745494402001,-0.049108854533329374,-0.0017786004106906325,-177.86004106906324
37,-0.40937508671000006,-0.4082405152062837,-0.001134571503716375,-113.45715037163751
38,-0.7317106260499998,-0.7290777147977496,-0.0026329112522501807,-263.29112522501805
39,-0.95626167025,-0.9540352656389856,-0.002226404611014421,-222.6404611014421
40,-1.07417345443,-1.07354744124426,-0.0006260131857398488,-62.60131857398488
41,-1.11015398636,-1.109350261620043,-0.0008037247399570457,-80.37247399570458
42,-1.04373309214,-1.043307399304213,-0.0004256928357870837,-42.56928357870837
43,-0.83654237127,-0.8349891358853702,-0.0015532353846298141,-155.32353846298142
44,-0.46346773719999995,-0.4633788974209866,-8.883977901336104e-05,-8.883977901336104
45,0.09530762620220001,0.09516716575547657,0.00014046044672344493,14.046044672344493
46,0.74742744969,0.7486327777011547,-0.0012053280111546938,-120.53280111546938
47,1.29391803474,1.2955049878295817,-0.0015869530895817885,-158.69530895817886
48,1.6338601082,1.6348558057302645,-0.0009956975302645166,-99.56975302645165
49,1.7312187690999998,1.73216434016768,-0.0009455710676802287,-94.55710676802286
50,1.51139785516,1.5114133046773681,-1.5449517368093524e-05,-1.5449517368093524
51,1.1109240511899998,1.1113641748908905,-0.0004401237008906378,-44.01237008906378
52,0.7295503854300001,0.729919159560703,-0.0003687741307029091,-36.87741307029091
53,0.39971684776,0.4000587961871532,-0.0003419484271531825,-34.19484271531825
54,0.13966639568268002,0.14018844601309097,-0.0005220503304109447,-52.205033041094474
55,-0.04413059682671001,-0.042777066642779235,-0.001353530183930772,-135.3530183930772
56,-0.15025121797170002,-0.14865704015184328,-0.0015941778198567402,-159.41778198567403
57,-0.17704839836504999,-0.17532392417113668,-0.0017244741939133057,-172.44741939133058
58,-0.12470741469294,-0.12302590383907898,-0.0016815108538610207,-168.15108538610207
59,0.00364987417535,0.004439697772752903,-0.0007898235974029026,-78.98235974029026
60,0.20442748899000002,0.2050010058089781,-0.0005735168189780759,-57.351681897807595
61,0.47509994287,0.4754527669213949,-0.00035282405139486217,-35.282405139486215
62,0.8084165297100002,0.808469371498127,-5.284178812681173e-05,-5.284178812681173
63,1.18624528384,1.186317597881212,-7.231404121199603e-05,-7.231404121199603
