Sloupec,Průměr,Směrodatná odchylka
SF_6724_19,-1706061.6074074076,70590.97305704367
SF_6725_19,-1762328.779179179,67116.29241136389
SF_6726_19,-1811958.2364364362,63171.16832986877
SF_6727_19,-1854617.1644644644,60173.50541856694
SF_6728_19,-1895578.0103103102,56867.25219005696
SF_6729_19,-1931649.112912913,52310.540110987284
SF_6730_19,-1958119.6230230231,47032.868848804326
SF_6731_19,-1971755.4456456457,41968.70426370233
SF_6691_19,-2010768.0983983986,48009.49827600247
SF_6690_19,-2058943.5078078078,34070.462556882005
SF_6689_19,-2087000.7561561563,28039.643218461555
SF_6688_19,-2111351.8645645645,22713.575159753716
SF_6687_19,-2129889.0953953955,18757.37224835946
SF_6686_19,-2142430.9387387387,15911.961539519918
SF_6685_19,-2148551.4893893893,14092.102597918036
SF_6684_19,-2148006.751251251,13265.962580344554
SF_6683_19,-2139725.384984985,13217.320779632237
SF_6682_19,-2122803.822122122,13461.806811908395
SF_6681_19,-2096845.6275275273,13879.186663971339
SF_6680_19,-2064381.977177177,14239.637832351385
SF_6679_19,-2022629.955955956,14282.722407873891
SF_6678_19,-1973453.1003003004,13943.536603082193
SF_6677_19,-1918347.7577577578,13375.743727032148
SF_6676_19,-1858944.5844844845,12871.014083868598
SF_6675_19,-1796496.2598598597,12392.928965374653
SF_6674_19,-1733515.3519519519,12743.570747342312
SF_6673_19,-1666851.7357357356,13529.440001918974
SF_6672_19,-1593783.3003003004,14677.595320215705
SF_6671_19,-1599833.7214214215,17662.741303876275
SF_6664_19,-1554949.7801801802,17598.186565953543
SF_6663_19,-1521967.0833833835,19961.35533227759
SF_6662_19,-1492741.6258258258,23253.15999024127
SF_6661_19,-1468542.7358358358,26997.322929420017
SF_6660_19,-1447666.7078078077,30794.870801841065
SF_6659_19,-1429784.0503503503,34442.41367360983
SF_6658_19,-1414684.372972973,37786.43550395273
SF_6657_19,-1401912.92972973,40712.02930124656
SF_6656_19,-1391810.891691692,43183.02388801979
SF_6655_19,-1384029.9404404406,45091.275094388955
SF_6654_19,-1378779.4043043044,46418.184304013594
SF_6653_19,-1375897.4489489489,47116.40923096258
