Ec;Rel;Erat_1;E50_1;c_1;phi_1;k0_1;Erat_2;E50_2;c_2;phi_2;k0_2;U_251_1;U_260_1;U_281_1;U_289_1;U_295_1;U_403_1;U_251_2;U_260_2;U_281_2;U_289_2;U_295_2;U_403_2;U_320_19.2;U_318_19.2;U_316_19.2;U_315_19.2;U_314_19.2;U_313_19.2;U_312_19.2;U_311_19.2;U_310_19.2;U_308_19.2;U_306_19.2
12.4;41.85;2.96;53.6;32.3;31.7;0.829;2.7;142;4.99;41.8;0.626;0;0.0025;-0.001821497;-0.00795753;-0.002842869;-0.005395335;-0.002251237;-0.008544554;-0.006243621;-0.000248104;0.00037876;0.000276228;-0.000381047;-0.003336664;-0.009898428;-0.015235106;-0.022334114;-0.026199957;-0.023200208;-0.017106129;-0.011036796;-0.003649828;-0.000562027
13.4;43.13;2.55;64.4;23.7;29.7;0.914;2.48;138;4.79;42.6;0.561;0;0.0025;-0.002787498;-0.00894283;-0.004186905;-0.006508582;-0.002985725;-0.009024084;-0.006371237;-0.000480831;9.55989E-05;-0.000201021;-0.000138429;-0.003238142;-0.010324026;-0.015781753;-0.023276877;-0.027262675;-0.024032315;-0.017549809;-0.011288788;-0.003348918;-0.000271461
12.8;57.3;2.8;65.2;36.4;30.4;1.06;2.54;131;4.79;43.6;0.451;0;0.0025;-0.003974184;-0.010178535;-0.005827535;-0.007671014;-0.003922015;-0.010062436;-0.007119479;-0.001153687;-0.000559442;-0.000921405;4.25327E-05;-0.003503428;-0.011683072;-0.017459562;-0.025614813;-0.029798456;-0.0262194;-0.01912829;-0.012382306;-0.003330804;-3.68627E-05
11.9;66.27;2.19;76.9;22;29.8;0.609;2.41;150;4.88;41.6;0.507;0;0.0025;-0.004230334;-0.009754599;-0.00484755;-0.006788412;-0.003589778;-0.009179712;-0.00619458;-0.000556764;7.14928E-05;-0.000126558;0.000164712;-0.002916438;-0.010623888;-0.016896239;-0.025052976;-0.029364878;-0.025660142;-0.018472614;-0.011771465;-0.003339147;1.02599E-05
12.4;61.17;2.48;58.8;39.6;30.3;0.608;2.4;133;4.91;42.9;0.622;0;0.0025;-0.002556738;-0.008487368;-0.003423269;-0.0061771;-0.003081692;-0.008989429;-0.006434291;-0.000582072;0.00004061;-0.000249007;-0.000298855;-0.003220172;-0.009998807;-0.015780654;-0.023243768;-0.027282149;-0.024033807;-0.017567307;-0.011310102;-0.003784624;-0.000502855
14.7;52.15;2.6;69.8;37.7;29.9;0.915;2.2;152;5.46;44.4;0.483;0;0.0025;-0.004040734;-0.010014791;-0.005609608;-0.007503396;-0.003522455;-0.009237399;-0.006222009;-0.000571528;-5.81772E-05;-0.000494223;0.000184003;-0.003013663;-0.010717992;-0.016455859;-0.02438668;-0.02854061;-0.025013106;-0.018072402;-0.011549514;-0.003010252;8.26376E-05
14.5;34.77;2.73;61.7;28.2;30.7;0.649;2.41;116;4.83;42.8;0.617;0;0.0025;-0.002608941;-0.008710343;-0.003868372;-0.006855763;-0.00336613;-0.009142883;-0.006462404;-0.000699801;-0.000162541;-0.00072836;-0.000313961;-0.003223633;-0.009902251;-0.015559141;-0.022902336;-0.026900092;-0.023716472;-0.017357389;-0.011182426;-0.003730733;-0.00051086
13.3;53.66;2.58;56.2;29;31.4;0.705;2.18;140;3.86;42.6;0.611;0;0.0025;-0.00255225;-0.008646199;-0.003763472;-0.006505078;-0.0030611;-0.008968227;-0.006286161;-0.000424611;0.000158538;-0.000261122;-0.000222916;-0.003136817;-0.009892895;-0.015510609;-0.022916147;-0.026914356;-0.023696955;-0.017282797;-0.01109295;-0.003553891;-0.000401721
14.2;39.6;2.85;63.4;27.2;30.2;1.1;2.12;146;5.32;41.7;0.608;0;0.0025;-0.001577412;-0.008280802;-0.003663441;-0.006432585;-0.002473827;-0.008924953;-0.006424131;-0.000252444;0.000309826;-0.000172315;-0.000359118;-0.00341119;-0.00999183;-0.014912672;-0.021791486;-0.02553748;-0.022661906;-0.01676245;-0.010817629;-0.003328679;-0.000474933
15.3;61.37;2.73;69.6;29.3;29.2;0.864;2.54;115;6.33;40.8;0.455;0;0.002;-0.004693861;-0.010676405;-0.006422306;-0.008468725;-0.004344596;-0.009821381;-0.006660316;-0.001061519;-0.000563607;-0.001196052;0.000226613;-0.003131089;-0.011206253;-0.017237712;-0.025432803;-0.029724646;-0.02605174;-0.01886645;-0.012124262;-0.003228422;0.00010359
13.7;66.4;2.34;58.3;30.5;30.9;0.8;2.6;132;5.17;41.7;0.536;0;0.0025;-0.00340831;-0.009333793;-0.004575573;-0.006747595;-0.003223673;-0.008966364;-0.006198083;-0.000483425;7.25726E-05;-0.000231803;3.1016E-06;-0.003063645;-0.010333872;-0.016056584;-0.023771703;-0.0278725;-0.024482055;-0.017749133;-0.011374083;-0.003293172;-0.000141096
15.2;37.41;2.61;68.3;34.1;29.5;0.87;2.81;120;5.74;41.6;0.604;0;0.0025;-0.002386479;-0.008569701;-0.003765654;-0.006286364;-0.002622031;-0.008566806;-0.006083948;-0.000312402;0.000196801;-0.000162075;-0.000231879;-0.003178041;-0.009824073;-0.015113629;-0.022251641;-0.02613109;-0.023092872;-0.016932147;-0.010890289;-0.00339371;-0.000393874
12.7;47.54;2.72;67.7;32.2;29.9;1.07;2.08;122;6.1;43.8;0.507;0;0.0025;-0.003135477;-0.009758877;-0.005479184;-0.008179914;-0.004424312;-0.010711025;-0.007760141;-0.001537267;-0.000912645;-0.001590606;-0.000251304;-0.003829591;-0.011662045;-0.0172687;-0.02513264;-0.0291944;-0.02578648;-0.01898312;-0.012381304;-0.003668143;-0.00033211
12.9;30.31;2.66;64.1;27.9;30.5;0.711;2.07;140;4.08;41.6;0.511;0;0.0025;-0.004123206;-0.010010395;-0.005410747;-0.00774276;-0.004165385;-0.009754384;-0.006646326;-0.000905374;-0.00031206;-0.000834906;8.67694E-05;-0.003122122;-0.01087606;-0.017008884;-0.025120199;-0.029390324;-0.025730675;-0.018605659;-0.011922633;-0.003406635;-4.81183E-05
12.3;40.04;2.35;62.7;29.8;29.2;0.749;2.14;138;6.3;43.4;0.49;0;0.0025;-0.004260032;-0.010135694;-0.005581601;-0.007788344;-0.004296583;-0.010084549;-0.006926071;-0.001128107;-0.000509002;-0.000967699;7.06857E-05;-0.003258615;-0.011244572;-0.017443266;-0.025677942;-0.029983776;-0.02626486;-0.01902878;-0.012232827;-0.003476997;-5.14244E-05
13.3;65.09;2.65;67;30.7;28;1.05;2.54;135;4.66;40.8;0.512;0;0.0025;-0.003164294;-0.009449127;-0.004885098;-0.006969203;-0.003240776;-0.009361478;-0.006585632;-0.000612624;-3.07454E-05;-0.000357571;-3.56945E-05;-0.00332726;-0.010838418;-0.016284807;-0.024003388;-0.028030746;-0.024703292;-0.018026914;-0.011623403;-0.003221752;-0.000134326
14;62.02;2.62;63.1;22.2;29.1;0.932;2.61;127;5.03;43.1;0.506;0;0.0025;-0.003544597;-0.009623533;-0.005079688;-0.007180803;-0.003485251;-0.009358309;-0.006541608;-0.000763268;-0.000217108;-0.00058407;-3.2722E-06;-0.003238641;-0.010764787;-0.016413273;-0.024212446;-0.02831073;-0.024903957;-0.018117098;-0.011665009;-0.003286904;-0.000124244
13.8;66.97;2.96;78.7;33.4;31.2;0.923;2.77;123;4.53;41.5;0.58;0;0.0025;-0.002486386;-0.008702039;-0.003882448;-0.006334806;-0.002839152;-0.008951843;-0.006400827;-0.000500529;6.23731E-05;-0.000235442;-0.000235172;-0.003312935;-0.010219241;-0.015577679;-0.022888508;-0.026819902;-0.02370203;-0.017396493;-0.011220955;-0.00345029;-0.000380342
11.5;67.94;2.31;60.3;20.2;30.8;0.78;2.76;131;4.52;40.5;0.582;0;0.0025;-0.002680793;-0.008649153;-0.003569179;-0.005983429;-0.002995143;-0.009130543;-0.006593183;-0.000616634;5.46509E-05;-6.37745E-05;-0.000242362;-0.003366106;-0.010480291;-0.016182175;-0.023801284;-0.027844843;-0.024557045;-0.017980494;-0.011605547;-0.003679553;-0.000405401
12.9;41.02;2.64;54.6;23.2;29.1;0.793;2;136;4.88;41.2;0.564;0;0.0025;-0.003119057;-0.009339264;-0.004698729;-0.007436631;-0.003841933;-0.009726942;-0.00678392;-0.000825905;-0.000219387;-0.000806967;-0.000141371;-0.003298368;-0.010585676;-0.016352108;-0.024091007;-0.028187204;-0.024780808;-0.018040411;-0.01161782;-0.003525975;-0.000276756
13.8;60.59;2.52;70.9;31.9;30.6;0.748;2.86;121;4.67;42;0.55;0;0.0025;-0.003403901;-0.00925216;-0.004407811;-0.006639523;-0.003237484;-0.008966807;-0.006232175;-0.000569532;-1.94374E-05;-0.000303447;-3.85757E-05;-0.003080536;-0.01028639;-0.016059082;-0.02374306;-0.027850015;-0.024476077;-0.017764756;-0.011402096;-0.003400834;-0.000203011
11.9;52.22;2.65;67.4;30.2;29.7;0.926;2.53;125;6.21;40.7;0.576;0;0.0025;-0.002329927;-0.008660348;-0.00380827;-0.006455075;-0.003214493;-0.009543603;-0.006974162;-0.000825536;-0.00016444;-0.000458499;-0.000351415;-0.003586901;-0.010706272;-0.01619002;-0.023653846;-0.027620763;-0.02443228;-0.01800874;-0.011680341;-0.003702975;-0.000486579
14.9;55.43;2.49;68;28.2;29.5;0.79;2.78;131;6.37;43.3;0.515;0;0.002;-0.003950215;-0.009681291;-0.00502004;-0.006902849;-0.003233353;-0.008762907;-0.005901745;-0.000408714;0.000091271;-0.000207524;0.000157156;-0.002873468;-0.010283398;-0.016083624;-0.023897564;-0.028054362;-0.02458665;-0.017744124;-0.01131635;-0.003099551;9.7212E-06
12.4;69.58;2.87;59.2;31.8;32.3;0.816;2.97;131;5.9;42.2;0.465;0;0.0025;-0.004294045;-0.009969905;-0.005249722;-0.006908571;-0.003516659;-0.009337466;-0.006379303;-0.000698092;-9.77079E-05;-0.000257553;0.00017013;-0.003086369;-0.01103557;-0.017086698;-0.02526697;-0.02954509;-0.025893977;-0.01873038;-0.012004433;-0.003254782;0.00003605
11.4;46.36;2.45;65.7;25.6;31.1;1;2.08;131;5.88;43.6;0.615;0;0.0025;-0.00144666;-0.008138027;-0.003387957;-0.006561477;-0.003336395;-0.010022264;-0.00751264;-0.001086771;-0.000382642;-0.000832649;-0.000640946;-0.00391474;-0.010791986;-0.01607362;-0.023236565;-0.027089754;-0.024072409;-0.017945463;-0.011719828;-0.003974351;-0.000775576
13.2;54.85;2.65;72.9;29.8;29.1;1.09;2.88;124;5.26;41.7;0.478;0;0.0025;-0.003467823;-0.009710987;-0.005215284;-0.007087791;-0.003374502;-0.009520602;-0.006745658;-0.000789032;-0.00020875;-0.000484988;-2.0199E-06;-0.003404324;-0.011180438;-0.016696686;-0.024574224;-0.028651053;-0.025252463;-0.018434074;-0.011914926;-0.003237027;-9.28496E-05
13.6;67.99;2.76;63.8;25;28.2;0.993;2.31;131;4.47;41;0.455;0;0.0025;-0.004321946;-0.010521368;-0.006257393;-0.008255939;-0.004249226;-0.010160506;-0.007014991;-0.00113697;-0.000572405;-0.001121671;0.000140305;-0.003369251;-0.011588524;-0.017493136;-0.025712896;-0.029956257;-0.026309483;-0.019134251;-0.01235287;-0.003280836;5.02106E-05
11.6;49.39;2.28;58.7;21;28.7;0.947;2.15;141;5.54;42.1;0.637;0;0.0025;-0.001285066;-0.007864728;-0.002965956;-0.006019602;-0.00277923;-0.009415112;-0.006999927;-0.000655688;3.26966E-05;-0.000311866;-0.00058964;-0.003705659;-0.010328691;-0.015544765;-0.022566225;-0.026383799;-0.023436816;-0.017434673;-0.01133311;-0.003855543;-0.000742224
13.8;37.93;2.02;65.7;23.3;28.2;1.02;2.87;130;6.34;40.6;0.45;0;0.0025;-0.004161252;-0.010180106;-0.005722411;-0.00734978;-0.003444347;-0.009319612;-0.006345771;-0.000583643;-3.80899E-05;-0.000353956;0.000217472;-0.003118197;-0.011087148;-0.016809227;-0.024877481;-0.02906883;-0.025522606;-0.018500773;-0.011875847;-0.003023672;0.000113466
12.6;67.38;2.82;67.4;27.7;30.3;0.806;2.41;136;5.1;42.3;0.466;0;0.0025;-0.004400372;-0.010224951;-0.005672416;-0.007593363;-0.004035462;-0.009814398;-0.006709772;-0.000969307;-0.000370402;-0.000734493;0.000150089;-0.003185475;-0.011247845;-0.017376944;-0.025628865;-0.029933786;-0.02622455;-0.018985426;-0.012191508;-0.003336841;2.87557E-05
12.4;54.65;2.43;70.1;32.4;29.1;0.662;2.19;132;5.04;42.8;0.566;0;0.0025;-0.003247523;-0.009215094;-0.004398098;-0.007054028;-0.003772445;-0.009553467;-0.006721897;-0.000867674;-0.000244945;-0.000681703;-0.000156504;-0.003247835;-0.01050809;-0.016475733;-0.024266776;-0.028417146;-0.02496137;-0.018147545;-0.011682021;-0.003668015;-0.000321244
14.2;66.22;2.41;64.7;21.2;28.7;0.848;2.51;129;3.43;41.4;0.583;0;0.0025;-0.002702795;-0.00886283;-0.004087897;-0.006588833;-0.002977724;-0.008921305;-0.006256012;-0.000430134;0.000115581;-0.000272359;-0.000163731;-0.003177797;-0.010076803;-0.015528323;-0.02291482;-0.026884858;-0.02370244;-0.017310787;-0.011126129;-0.0033852;-0.000313064
12.2;43.05;2.67;65.6;31.1;31;0.873;2.53;130;5.1;43;0.617;0;0.0025;-0.001847766;-0.008143069;-0.003182978;-0.005935372;-0.002785403;-0.009146153;-0.006781248;-0.00067737;-3.29814E-05;-0.000258704;-0.000472815;-0.003563448;-0.010303163;-0.015686177;-0.022871282;-0.026759317;-0.023715133;-0.017546311;-0.01138001;-0.003804358;-0.000638008
12.4;47.1;2.16;58.2;31.1;29.3;0.818;2.66;144;7.41;41.4;0.476;0;0.0025;-0.004145958;-0.009873621;-0.00514442;-0.006862573;-0.003405654;-0.009236082;-0.006246728;-0.000534464;6.93979E-05;-0.000115256;0.000182218;-0.003022079;-0.010861271;-0.016851723;-0.024965264;-0.029211534;-0.025584733;-0.018476896;-0.011811074;-0.003173285;0.00005801
13.2;53.89;2.25;59.6;41.8;28.9;0.948;2.54;110;5.81;40.4;0.555;0;0.0025;-0.002886501;-0.009292895;-0.004704065;-0.007401657;-0.00381098;-0.009943944;-0.007156904;-0.001103157;-0.000504943;-0.001035335;-0.000258518;-0.003580627;-0.010948725;-0.016508473;-0.024138093;-0.028169451;-0.024883205;-0.0182923;-0.011876245;-0.003640352;-0.000381055
11.8;68.98;2.49;55.3;31.5;29.4;0.888;2.27;145;6.55;40.1;0.524;0;0.0025;-0.003355385;-0.009461492;-0.004741571;-0.00696707;-0.003544664;-0.009648357;-0.006728234;-0.000717828;-6.33368E-05;-0.000377468;-4.10009E-05;-0.003317545;-0.010931583;-0.016708199;-0.024626624;-0.02875946;-0.025282511;-0.018390648;-0.011841985;-0.003402303;-0.000154081
11.1;60.98;2.9;64;26.2;29.3;0.73;2.23;129;4.76;42.5;0.512;0;0.0025;-0.003918676;-0.009852956;-0.005159121;-0.007567239;-0.004421387;-0.01041798;-0.007343201;-0.001363659;-0.000671563;-0.00106892;-0.000089662;-0.003489678;-0.01145156;-0.017695965;-0.025931187;-0.030231297;-0.026539812;-0.019321742;-0.012493574;-0.003767001;-0.000221908
