column,mean_LOO_best,mean_Val_best,mean_mean_PCE,mean_std_PCE,mean_LOO_LAR,mean_LOO_full,mean_Val_LAR,mean_Val_full,S1_Ec,ST_Ec,S1_Rel,ST_Rel,S1_Erat_1,ST_Erat_1,S1_E50_1,ST_E50_1,S1_c_1,ST_c_1,S1_phi_1,ST_phi_1,S1_k0_1,ST_k0_1,S1_Erat_2,ST_Erat_2,S1_E50_2,ST_E50_2,S1_c_2,ST_c_2,S1_phi_2,ST_phi_2,S1_k0_2,ST_k0_2
SF_6618_19,0.039240775,,-1854929.8917004415,16781.189813516805,0.039240775,0.10612975,,,0.3566301460394756,0.3566301460394756,0.0004012179386909417,0.0004012179386909417,0.0006094717120432256,0.0006094717120432256,0.0,0.0,0.0008559158261228872,0.0008559158261228872,2.1891870312251763e-06,2.1891870312251763e-06,0.1700796636456058,0.1700796636456058,0.02808393066308573,0.02808393066308573,0.005320543202924757,0.005320543202924757,0.0,0.0,0.0004761195172331291,0.0004761195172331291,0.4375408022677867,0.4375408022677867
SF_6617_19,0.035822475,,-1903234.9710932418,17851.444049616948,0.035822475,0.099164975,,,0.3346893313542051,0.3346893313542051,0.0001234747543890459,0.0001234747543890459,0.0005666854840377215,0.0005666854840377215,0.0,0.0,0.0007172148864754529,0.0007172148864754529,0.0,0.0,0.11800366770711172,0.11800366770711172,0.01711546647670458,0.01711546647670458,0.004501604685122749,0.004501604685122749,0.0,0.0,0.0004193804697841253,0.0004193804697841253,0.5238631741821697,0.5238631741821697
SF_6616_19,0.0338071,,-1945769.4239817853,18736.672656901406,0.0338071,0.09578977500000001,,,0.32272133246512325,0.32272133246512325,4.2150166757315626e-05,4.2150166757315626e-05,0.0006607464439226706,0.0006607464439226706,0.0,0.0,0.0006022915652476662,0.0006022915652476662,0.0,0.0,0.07782208530685622,0.07782208530685622,0.009367507865607905,0.009367507865607905,0.0040786715502176135,0.0040786715502176135,0.0,0.0,0.001754512582813626,0.001754512582813626,0.5829507020534537,0.5829507020534537
SF_6615_19,0.033752975,,-1980961.604077737,19289.648663400352,0.033752975,0.0972035,,,0.3297895375973658,0.3297895375973658,4.28893089395983e-05,4.28893089395983e-05,0.000911851789933964,0.000911851789933964,0.0,0.0,0.0,0.0,0.0,0.0,0.04891817325446248,0.04891817325446248,0.004864376017891579,0.004864376017891579,0.0033767969255754093,0.0033767969255754093,0.0,0.0,0.00016021084384826813,0.00016021084384826813,0.611936164261983,0.611936164261983
SF_6614_19,0.0346642,,-2006577.1385655315,19281.588535891686,0.0346642,0.103083925,,,0.3480968910514167,0.3480968910514167,0.00014960204557852385,0.00014960204557852385,0.0009975396205444136,0.0009975396205444136,0.0,0.0,0.0,0.0,0.0,0.0,0.03112648176930927,0.03112648176930927,0.0017284905370175327,0.0017284905370175327,0.0031996795555702764,0.0031996795555702764,0.0,0.0,0.0015603388538393214,0.0015603388538393214,0.613140976566724,0.613140976566724
SF_6613_19,0.03606235,,-2024901.0222253343,19024.82503566726,0.03606235,0.11411809999999999,,,0.38113412570405053,0.38113412570405053,4.2262569418882085e-05,4.2262569418882085e-05,0.0008359831688753006,0.0008359831688753006,0.0,0.0,0.0,0.0,0.0,0.0,0.016589835770629613,0.016589835770629613,0.0012321711938431032,0.0012321711938431032,0.0022021842002940576,0.0022021842002940576,0.0006743895415411371,0.0006743895415411371,0.0017120972368369028,0.0017120972368369028,0.5955769506145105,0.5955769506145105
SF_6612_19,0.0422446,,-2033925.1454426928,18193.75494214874,0.0422446,0.1318526,,,0.4406514546458429,0.4406514546458429,0.00014059317792227557,0.00014059317792227557,0.001044359216263113,0.001044359216263113,0.0,0.0,0.0,0.0,0.0013494730555953978,0.0013494730555953978,0.007988782764598907,0.007988782764598907,0.0011350895643071697,0.0011350895643071697,0.001540549930528333,0.001540549930528333,0.0008606187434391867,0.0008606187434391867,0.0006000114464036697,0.0006000114464036697,0.544689067455099,0.544689067455099
SF_6611_19,0.053495975,,-2033934.5217697518,16857.18770848303,0.053495975,0.16496450000000001,,,0.5441602534493514,0.5441602534493514,0.0014281733281909937,0.0014281733281909937,0.0004212880115795458,0.0004212880115795458,0.0012785258892975449,0.0012785258892975449,0.0013273261208889683,0.0013273261208889683,0.0009419774100391535,0.0009419774100391535,0.003725976234736179,0.003725976234736179,0.0064616098824282365,0.0064616098824282365,0.0009032737389504839,0.0009032737389504839,0.0008087723573787926,0.0008087723573787926,0.0005754355082276919,0.0005754355082276919,0.437967388068931,0.437967388068931
SF_6610_19,0.069298,,-2026545.6772543462,15195.794432852992,0.069298,0.21186405000000003,,,0.7108354764807973,0.7108354764807973,0.00029250290037675453,0.00029250290037675453,0.0007378818775251753,0.0007378818775251753,0.0,0.0,0.0,0.0,0.0019005638288976682,0.0019005638288976682,0.0020507650106473363,0.0020507650106473363,0.01951222519919255,0.01951222519919255,0.000866549069334928,0.000866549069334928,0.0,0.0,0.003071718449259837,0.003071718449259837,0.26073231718396855,0.26073231718396855
SF_6609_19,0.085183975,,-2013335.315807172,14322.158929611054,0.085183975,0.25981744999999995,,,0.8646623359144581,0.8646623359144581,0.00022885888341220967,0.00022885888341220967,0.001648489196972915,0.001648489196972915,0.0,0.0,0.0,0.0,0.0021105658845408095,0.0021105658845408095,0.002079269771047829,0.002079269771047829,0.047053273252903385,0.047053273252903385,0.00576597053816853,0.00576597053816853,0.00123194239886351,0.00123194239886351,0.003750115142425637,0.003750115142425637,0.07146917901720708,0.07146917901720708
